,code,pinyin_abbr,fund_name,fund_type,pinyin
321,000487,JS3GYLCZQA,嘉实3个月理财债券A,债券型-中短债,JIASHI3GEYUELICAIZHAIQUANA
322,000488,JS3GYLCZQE,嘉实3个月理财债券E,债券型-中短债,JIASHI3GEYUELICAIZHAIQUANE
323,000493,NFXJTA,南方现金通A,货币型-普通货币,NANFANGXIANJINTONGA
324,000494,NFXJTB,南方现金通B,货币型-普通货币,NANFANGXIANJINTONGB
325,000495,NFXJTC,南方现金通C,货币型-普通货币,NANFANGXIANJINTONGC
326,000496,CACYJXHHA,长安产业精选混合A,混合型-灵活,CHANGANCHANYEJINGXUANHUNHEA
327,000497,CTCZZQA,财通纯债债券A,债券型-长债,CAITONGCHUNZHAIZHAIQUANA
328,000503,ZXJTJHZDZA,中信建投景和中短债A,债券型-中短债,ZHONGXINJIANTOUJINGHEZHONGDUANZHAIA
329,000504,ZXJTJHZDZC,中信建投景和中短债C,债券型-中短债,ZHONGXINJIANTOUJINGHEZHONGDUANZHAIC
330,000505,GSABHBA,国寿安保货币A,货币型-普通货币,GUOSHOUANBAOHUOBIA
331,000506,GSABHBB,国寿安保货币B,货币型-普通货币,GUOSHOUANBAOHUOBIB
332,000507,HLHDHHA,宏利宏达混合A,混合型-偏债,HONGLIHONGDAHUNHEA
333,000508,HLHDHHB,宏利宏达混合B,混合型-偏债,HONGLIHONGDAHUNHEB
334,000509,GFQDZHBA,广发钱袋子货币A,货币型-普通货币,GUANGFAQIANDAIZIHUOBIA
335,000511,GTGCQDLHPZHHA,国泰国策驱动灵活配置混合A,混合型-灵活,GUOTAIGUOCEQUDONGLINGHUOPEIZHIHUNHEA
336,000512,GTHS300ZSZQA,国泰沪深300指数增强A,指数型-股票,GUOTAIHUSHEN300ZHISHUZENGQIANGA
337,000513,FGGDZZHYGPA,富国高端制造行业股票A,股票型,FUGUOGAODUANZHIZAOHANGYEGUPIAOA
338,000514,FGGDZZHYGPA,富国高端制造行业股票A(后端),股票型,FUGUOGAODUANZHIZAOHANGYEGUPIAOA
339,000516,FGXLYNQDQKFZQXA,富国祥利一年期定期开放债券型A,债券型-长债,FUGUOXIANGLIYINIANQIDINGQIKAIFANGZHAIQUANXINGA
340,000517,FGXLYNQDQKFZQXC,富国祥利一年期定期开放债券型C,债券型-长债,FUGUOXIANGLIYINIANQIDINGQIKAIFANGZHAIQUANXINGC
341,000520,SYXXJZCZHHA,上银新兴价值成长混合A,混合型-灵活,SHANGYINXINXINGJIAZHICHENGZHANGHUNHEA
342,000521,NARXDKZQ,诺安瑞鑫定开债券,债券型-长债,NUOANRUIXINDINGKAIZHAIQUAN
343,000522,HRYDXXCMKJHHA,华润元大信息传媒科技混合A,混合型-偏股,HUARUNYUANDAXINXICHUANMEIKEJIHUNHEA
344,000523,GTRYYLBJHHA,国投瑞银医疗保健混合A,混合型-灵活,GUOTOURUIYINYILIAOBAOJIANHUNHEA
